Source,Sink,Weight
Acrochaetiaceae,Pinnulariaceae,1
Acrochaetiaceae,Hyphomonadaceae,1
Acrochaetiaceae,Erythropeltidaceae,1
Acrochaetiaceae,Apolemiidae,1
Acrochaetiaceae,Erythrotrichiaceae,1
Agalmatidae,Microbulbiferaceae,1
Agalmatidae,Pyrenomonadaceae,1
Agalmatidae,Candidatus.Brocadiaceae,1
Agalmatidae,Catenulaceae,1
Agalmatidae,Bacillariaceae,1
Agalmatidae,Pleurosigmataceae,1
Agalmatidae,Olpidiopsidaceae,1
Agalmatidae,Chroomonadaceae,1
Agalmatidae,Rubricoccaceae,1
Alpheidae,Saccharospirillaceae,1
Alpheidae,Ceramiaceae,1
Alpheidae,Calditrichaceae,1
Alpheidae,Corallinaceae,1
Alpheidae,Dermocarpellaceae,1
Alpheidae,Braconidae,1
Alpheidae,Olpidiopsidaceae,1
Alpheidae,Porticoccaceae,1
Alpheidae,Pelagiidae,1
Amanitaceae,Laelapidae,1
Amanitaceae,Clavariaceae,1
Amanitaceae,Nitriliruptoraceae,1
Amanitaceae,Cyphoderiidae,1
Anisolpidiaceae,Desulfovibrionaceae,1
Anisolpidiaceae,Apolemiidae,1
Anisolpidiaceae,Comatulidae,1
Apolemiidae,Acrochaetiaceae,1
Apolemiidae,Tethyidae,1
Apolemiidae,Sandaracinaceae,1
Apolemiidae,Gigartinaceae,1
Apolemiidae,Anisolpidiaceae,1
Apolemiidae,Bangiaceae,1
Apolemiidae,Olpidiopsidaceae,1
Apusomonadidae,Skeletonemataceae,1
Apusomonadidae,Leptomitaceae,1
Apusomonadidae,Microbulbiferaceae,1
Apusomonadidae,Chrysomelidae,1
Apusomonadidae,Halieaceae,1
Apusomonadidae,Lentimicrobiaceae,1
Apusomonadidae,Pleurosigmataceae,1
Apusomonadidae,Cyaneidae,1
Apusomonadidae,Ruminococcaceae,1
Asplanchnidae,Sandaracinaceae,1
Asplanchnidae,Olpidiopsidaceae,1
Bacillariaceae,Psathyrellaceae,1
Bacillariaceae,Catenulaceae,1
Bacillariaceae,Bacillariaceae,1
Bacillariaceae,Pleurosigmataceae,1
Bacillariaceae,Methylococcaceae,1
Bangiaceae,Lymnaeidae,1
Bangiaceae,Apolemiidae,1
Bangiaceae,Cyaneidae,1
Berkeleyaceae,Amoebophilaceae,1
Berkeleyaceae,Lentimicrobiaceae,1
Berkeleyaceae,Bacillariaceae,1
Berkeleyaceae,Chlorodendraceae,1
Berkeleyaceae,Pleurosigmataceae,1
