name,group
Acrochaetiaceae,CO1
Agalmatidae,CO1
Alpheidae,CO1
Amanitaceae,CO1
Anisolpidiaceae,CO1
Apolemiidae,CO1
Apusomonadidae,CO1
Asplanchnidae,CO1
Bacillariaceae,CO1
Bangiaceae,CO1
Berkeleyaceae,CO1
Bougainvilliidae,CO1
Braconidae,CO1
Caecitellidae,CO1
Campanulariidae,CO1
Capitellidae,CO1
Cecidomyiidae,CO1
Ceramiaceae,CO1
Chaetonotidae,CO1
Chlorellaceae,CO1
Chordariaceae,CO1
Chromadoridae,CO1
Chrysomelidae,CO1
Clavariaceae,CO1
Cochliopodiidae,CO1
Comatulidae,CO1
Corallinaceae,CO1
Corynidae,CO1
Culicidae,CO1
Cyaneidae,CO1
Cymbellaceae,CO1
Cyphoderiidae,CO1
Ectocarpaceae,CO1
Entolomataceae,CO1
Erebidae,CO1
Erythropeltidaceae,CO1
Flavobacteriaceae,CO1
Fragilariaceae,CO1
Gigartinaceae,CO1
Gomphonemataceae,CO1
Gracilariaceae,CO1
Gracillariidae,CO1
Gymnodiniaceae,CO1
Hartmannellidae,CO1
Hesperiidae,CO1
Hyalospheniidae,CO1
Hydridae,CO1
Ischnomesidae,CO1
Kallymeniaceae,CO1
Laelapidae,CO1
Leptomitaceae,CO1
Lithodesmiaceae,CO1
Lymnaeidae,CO1
Mesotaeniaceae,CO1
Mitrocomidae,CO1
Myzocytiopsidaceae,CO1
Naviculaceae,CO1
Nectriaceae,CO1
Niphargidae,CO1
Noctuidae,CO1
Olpidiopsidaceae,CO1
Paramoebidae,CO1
Pelagiidae,CO1
Pennariidae,CO1
Peronosporaceae,CO1
Pinnulariaceae,CO1
Pleurotaceae,CO1
Plumulariidae,CO1
Prayidae,CO1
Psathyrellaceae,CO1
Pycnococcaceae,CO1
Pythiaceae,CO1
Raphidomonadidae,CO1
Rhabditidae,CO1
Rhodomelaceae,CO1
Salpingoecidae,CO1
Saprolegniaceae,CO1
Scytosiphonaceae,CO1
Sellaphoraceae,CO1
Sertulariidae,CO1
Skeletonemataceae,CO1
Tethyidae,CO1
Thalassiosiraceae,CO1
Thecamoebidae,CO1
Vannellidae,CO1
Veneridae,CO1
Xyalidae,CO1
Zancleidae,CO1
Acanthopleuribacteraceae,16S
Acidiferrobacteraceae,16S
Acidimicrobiaceae,16S
Acidobacteriaceae,16S
Aeromonadaceae,16S
Alariaceae,16S
Alcaligenaceae,16S
Alcanivoracaceae,16S
Alteromonadaceae,16S
Amoebophilaceae,16S
Anaerolineaceae,16S
Anaeromyxobacteraceae,16S
Aphanothecaceae,16S
Archangiaceae,16S
Ardenticatenaceae,16S
Arenicellaceae,16S
Aurantimonadaceae,16S
Bacillaceae,16S
Bacillariaceae,16S
Bacteriovoracaceae,16S
Bacteroidaceae,16S
Bangiaceae,16S
Bdellovibrionaceae,16S
Beijerinckiaceae,16S
Burkholderiaceae,16S
Caldilineaceae,16S
Calditrichaceae,16S
Campylobacteraceae,16S
Candidatus.Brocadiaceae,16S
Catenulaceae,16S
Caulobacteraceae,16S
Cellvibrionaceae,16S
Chaetocerotaceae,16S
Chitinophagaceae,16S
Chlorodendraceae,16S
Chromatiaceae,16S
Chromobacteriaceae,16S
Chroomonadaceae,16S
Chthoniobacteraceae,16S
Clostridiaceae,16S
Clostridiales.Family.XII..Incertae.Sedis,16S
Colwelliaceae,16S
Comamonadaceae,16S
Competibacteraceae,16S
Coscinodiscaceae,16S
Coxiellaceae,16S
Crocinitomicaceae,16S
Cryomorphaceae,16S
Cyclobacteriaceae,16S
Cymatosiraceae,16S
Cytophagaceae,16S
Dermocarpellaceae,16S
Desulfarculaceae,16S
Desulfobacteraceae,16S
Desulfobulbaceae,16S
Desulfonatronaceae,16S
Desulfovibrionaceae,16S
Desulfuromonadaceae,16S
Ectocarpaceae,16S
Ectothiorhodospiraceae,16S
Erythrobacteraceae,16S
Erythrotrichiaceae,16S
Euzebyaceae,16S
Ferrimonadaceae,16S
Flammeovirgaceae,16S
Flavobacteriaceae,16S
Fragilariaceae,16S
Fusobacteriaceae,16S
Gaiellaceae,16S
Gallionellaceae,16S
Gemmataceae,16S
Gemmatimonadaceae,16S
Geobacteraceae,16S
Geodermatophilaceae,16S
Gigartinaceae,16S
Glabratellidae,16S
Granulosicoccaceae,16S
